

set I := Madrid Barcelona Almeria Valencia Vigo Murcia Salamanca Zaragoza Toledo Sebastian Santander Valladolid Granada Sevilla Badajoz Castellon Cuenca Tarragona Lerida Huelva Soria;

param n := 21;

param A :
             Madrid Barcelona Almeria Valencia Vigo Murcia Salamanca Zaragoza Toledo Sebastian Santander Valladolid Granada Sevilla Badajoz Castellon Cuenca Tarragona Lerida Huelva Soria   :=
  Madrid     0      621       535     355      602  397    220       314      72     453       425       196        420     534     404     420       166    545       461    616    228
  Barcelona  621    0         790     351      1153 594    845       313      692    571       708       727        888     996     1022    280       541    100       163    1090   467
  Almeria    535    790       0       424      1140 204    758       752      493    991       978       733        162     407     616     507       483    691       745    503    763
  Valencia   355    351       424     0        954  235    573       318      369    547       684       548        451     654     656     74        199    258       312    748    379
  Vigo       602    1153      1140    954      0    994    414       842      657    756       576       437        1009    727     507     1013      759    1072      989    796    641
  Murcia     397    594       204     235      994  0      619       556      391    838       807       594        278     523     666     311       306    495       549    619    593
  Salamanca  220    845       758     573      414  619    0         538      236    452       360       119        632     462     291     636       382    768       685    544    323
  Zaragoza   314    313       752     318      842  556    538       0        385    263       400       420        726     846     715     309       290    236       152    928    159
  Toledo     72     692       493     369      657  391    236       385      0      524       503       257        368     476     363     436       182    620       531    576    297
  Sebastian  453    571       991     547      756  838    452       263      524    0         196       335        867     916     746     571       519    493       410    998    263
  Santander  425    708       978     684      576  807    360       400      503    196       0         188        420     528     398     425       171    551       468    610    234
  Valladolid 196    727       733     548      437  594    119       420      257    335       188       0          608     584     414     559       358    652       568    666    207
  Granada    420    888       162     451      1009 278    632       726      368    867       420       608        0       248     457     611       456    795       872    344    638
  Sevilla    534    996       407     654      727  523    462       846      476    916       528       584        248     0       210     719       564    903       991    94     757
  Badajoz    404    1022      616     656      507  666    291       715      363    746       398       414        457     210     0       722       543    945       862    292    628
  Castellon  420    280       507     74       1013 311    636       309      436    571       425       559        611     719     722     0         263    187       241    812    379
  Cuenca     166    541       483     199      759  306    382       290      182    519       171       358        456     564     543     263       0      448       441    657    270
  Tarragona  545    100       691     258      1072 495    768       236      620    493       551       652        795     903     945     187       448    0         100    997    390
  Lerida     461    163       745     312      989  549    685       152      531    410       468       568        872     991     862     241       441    100       0      1074   306
  Huelva     616    1090      503     748      796  619    544       928      576    998       610       666        344     94      292     812       657    997       1074   0      841
  Soria      228    467       763     379      641  593    323       159      297    263       234       207        638     757     628     379       270    390       306    841    0    ;
